code,symbol,name,industry
500002,ABB,ABB India Ltd,
500003,AEGISLOG,Aegis Logistics Ltd,
500008,ARE&M,Amara Raja Energy & Mobility Ltd,
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,
500012,ANDHRAPET,Andhra Petrochemicals Ltd,
500013,ANSALAPI,Ansal Properties & Infrastructure Ltd,
500014,UTIQUE,Utique Enterprises Ltd,
500016,ARUNAHTEL,Aruna Hotels Ltd,
500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,
500023,ASIANHOTNR,Asian Hotels (North) Ltd,
500027,ATUL,Atul Ltd,
500028,ATVPR,ATV Projects India Ltd,
500031,BAJAJELEC,Bajaj Electricals Ltd-$,
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,
500033,FORCEMOT,Force Motors Ltd-$,
500034,BAJFINANCE,Bajaj Finance Ltd,
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,
500039,BANCOINDIA,Banco Products (India) Ltd-$,
500040,ABREL,Aditya Birla Real Estate Ltd,
500041,BANARISUG,Bannari Amman Sugars Ltd,
500042,BASF,BASF India Ltd,
500043,BATAINDIA,Bata India Ltd,
500048,BEML,BEML Ltd,
500049,BEL,Bharat Electronics Ltd,
500051,BHAGGAS,Bhagawati Gas Ltd,
500052,BEPL,Bhansali Engineering Polymers Ltd-$,
500058,BIHSPONG,Bihar Sponge Iron Ltd,
500059,BILVYAPAR,Bil Vyapar Ltd,
500060,BIRLACABLE,Birla Cable Ltd,
500067,BLUESTARCO,Blue Star Ltd,
500068,DISAQ,Disa India Ltd,
500069,QUESTCAP,Quest Capital Markets Ltd,
500074,BPL,BPL Ltd,
500078,OAL,Oriental Aromatics Ltd-$,
500083,CENTEXT,Century Extrusions Ltd,
500084,CESC,CESC Ltd,
500085,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,
500086,EXIDEIND,Exide Industries Ltd,
500087,CIPLA,Cipla Ltd,
500089,DICIND,DIC India Ltd,
500092,CRISIL,Crisil Ltd,
500093,CGPOWER,CG Power and Industrial Solutions Ltd,
500096,DABUR,Dabur India Ltd,
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,
500101,ARVIND,Arvind Ltd,
500103,BHEL,Bharat Heavy Electricals Ltd,
500104,HINDPETRO,Hindustan Petroleum Corporation Ltd,
500106,IFCI,IFCI Ltd,
500108,MTNL,Mahanagar Telephone Nigam Ltd,
500109,MRPL,Mangalore Refinery and Petrochemicals Ltd,
500110,CHENNPETRO,Chennai Petroleum Corporation Ltd,
500112,SBIN,State Bank of India,
500113,SAIL,Steel Authority of India Ltd,
500114,TITAN,Titan Company Ltd,
500116,IDBI,IDBI Bank Ltd,
500117,DCW,DCW Ltd,
500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,
500120,DIAMINESQ,Diamines & Chemicals Ltd-$,
500123,ELANTAS,Elantas Beck India Ltd-$,
500124,DRREDDY,Dr Reddys Laboratories Ltd,
500125,EIDPARRY,EID Parry India Ltd,
500126,PGHL,Procter & Gamble Health Ltd,
500128,ELECTCAST,Electrosteel Castings Ltd,
500133,ESABINDIA,Esab India Ltd,
500135,EPL,EPL Ltd,
500136,ESTER,Ester Industries Ltd,
500142,FGP,FGP Ltd,
500143,PHCAP,PH Capital Ltd,
500144,FINCABLES,Finolex Cables Ltd,
500147,COCKERILL,John Cockerill India Ltd-$,
500148,UFLEX,Uflex Ltd,
500150,FOSECOIND,Foseco India Ltd,
500151,GOLDENTOBC,Golden Tobacco Ltd,
500153,GANESHBE,Ganesh Benzoplast Ltd,
500159,METROGLOBL,Metroglobal Ltd,
500160,GTL,GTL Ltd,
500163,GODFRYPHLP,Godfrey Phillips India Ltd,
500164,GODREJIND,Godrej Industries Ltd,
500165,KANSAINER,Kansai Nerolac Paints Ltd,
500166,GOODRICKE,Goodricke Group Ltd,
500168,GOODYEAR,Goodyear India Ltd,
500170,GTNINDS,GTN Industries Ltd,
500171,GHCL,GHCL Ltd,
500173,GFLLIMITED,GFL Ltd,
500174,GLFL,Gujarat Lease Financing Ltd,
500178,HARCR,Harig Crankshafts Ltd,
500179,HCL-INSYS,HCL Infosystems Ltd,
500180,HDFCBANK,HDFC Bank Ltd,
500182,HEROMOTOCO,Hero MotoCorp Ltd,
500183,HFCL,HFCL Ltd,
500184,HSCL,Himadri Speciality Chemical Ltd,
500185,HCC,Hindustan Construction Company Ltd,
500186,HINDOILEXP,Hindustan Oil Exploration Company Ltd,
500187,AGI,Agi Greenpac Ltd,
500188,HINDZINC,Hindustan Zinc Ltd,
500189,NDLVENTURE,NDL Ventures Ltd,
500191,HMT,HMT Ltd,
500192,PRAGBOS,Prag Bosimi Synthetics Ltd,
500193,HLVLTD,HLV Ltd,
500199,IGPL,IG Petrochemicals Ltd,
500201,INDIAGLYCO,India Glycols Ltd,
500202,INDLEASE,India Lease Development Ltd,
500206,MARGOFIN,Margo Finance Ltd,
500207,INDORAMA,Indo Rama Synthetics (India) Ltd,
500209,INFY,Infosys Ltd,
500210,INGERRAND,Ingersoll-Rand (India) Ltd,
500213,ITHL,International Travel House Ltd-$,
500214,IONEXCHANG,Ion Exchange India Ltd-$,
500215,SUNDROP,Sundrop Brands Ltd,
500219,JISLJALEQS,Jain Irrigation Systems Ltd,
500220,JASCH,Jasch Industries Ltd,
